,Date,Value,Ticker,pct
953,2013-06-30,-1.43,FPI,7.9375
954,2013-03-31,-0.16,FPI,
957,2021-09-30,534.0,NAVI,0.6036036036036037
958,2021-06-30,333.0,NAVI,0.8603351955307263
959,2021-03-31,179.0,NAVI,-0.8186423505572442
960,2020-12-31,987.0,NAVI,0.2095588235294117
961,2020-09-30,816.0,NAVI,0.37142857142857144
962,2020-06-30,595.0,NAVI,0.3134657836644592
963,2020-03-31,453.0,NAVI,-0.4548736462093863
964,2019-12-31,,NAVI,0.0
965,2019-09-30,831.0,NAVI,0.5919540229885059
966,2019-06-30,522.0,NAVI,1.7765957446808511
967,2019-03-31,188.0,NAVI,-0.7129770992366412
968,2018-12-31,,NAVI,0.0
969,2018-09-30,655.0,NAVI,0.3589211618257262
970,2018-06-30,482.0,NAVI,0.6971830985915493
971,2018-03-31,284.0,NAVI,-0.6892778993435449
972,2017-12-31,,NAVI,0.0
973,2017-09-30,914.0,NAVI,0.45079365079365075
974,2017-06-30,630.0,NAVI,0.7647058823529411
975,2017-03-31,357.0,NAVI,-0.5369649805447471
976,2016-12-31,,NAVI,0.0
977,2016-09-30,,NAVI,0.0
978,2016-06-30,771.0,NAVI,1.2543859649122808
979,2016-03-31,342.0,NAVI,-0.31462925851703405
980,2015-12-31,,NAVI,0.0
981,2015-09-30,,NAVI,0.0
982,2015-06-30,,NAVI,0.0
983,2015-03-31,499.0,NAVI,-0.10573476702508966
984,2014-12-31,,NAVI,0.0
985,2014-09-30,,NAVI,0.0
986,2014-06-30,,NAVI,0.0
987,2014-03-31,558.0,NAVI,-0.41509433962264153
988,2013-12-31,,NAVI,0.0
989,2013-09-30,,NAVI,0.0
990,2013-06-30,954.0,NAVI,0.8034026465028354
991,2013-03-31,529.0,NAVI,
995,2021-10-31,-92.75,GMS,0.13664215686274517
996,2021-07-31,-81.6,GMS,-1.649216325881136
997,2021-04-30,125.69,GMS,1.4231733179101602
998,2021-01-31,51.87,GMS,3.014705882352941
999,2020-10-31,12.92,GMS,-1.642466434609647
1000,2020-07-31,-20.11,GMS,-1.0717906611452235
1001,2020-04-30,280.12,GMS,1.419416134047331
1002,2020-01-31,115.78,GMS,1.0546583850931674
1003,2019-10-31,56.35,GMS,-4.113259668508287
1004,2019-07-31,-18.1,GMS,-1.1028292239518236
1005,2019-04-30,176.02,GMS,0.8935025817555939
1006,2019-01-31,92.96,GMS,1.5029617662897143
1007,2018-10-31,37.14,GMS,-1.723271665043817
1008,2018-07-31,-51.35,GMS,-1.729507032248899
1009,2018-04-30,70.39,GMS,0.2717253839205058
1010,2018-01-31,55.35,GMS,1.1705882352941175
1011,2017-10-31,25.5,GMS,4.743243243243243
1012,2017-07-31,4.44,GMS,-0.9270096991615979
1013,2017-04-30,60.83,GMS,0.8608137044967881
1014,2017-01-31,32.69,GMS,-11.86046511627907
1015,2016-10-31,-3.01,GMS,-0.9070700833590615
1016,2016-07-31,-32.39,GMS,-1.649228302264983
1017,2016-04-30,49.89,GMS,1.4136429608127719
1018,2016-01-31,20.67,GMS,17.96330275229358
1019,2015-10-31,1.09,GMS,-1.0560411311053985
1020,2015-07-31,-19.45,GMS,
1025,2021-09-30,-0.63,RETC,0.4651162790697674
1026,2021-06-30,-0.43,RETC,0.5925925925925926
1027,2021-03-31,-0.27,RETC,-0.5573770491803278
1028,2020-12-31,-0.61,RETC,0.5641025641025641
1029,2020-09-30,-0.39,RETC,0.8571428571428572
1030,2020-06-30,-0.21,RETC,-3.9999999999999996
1031,2020-03-31,0.07,RETC,
1035,2021-09-30,-0.74,WORX,0.5416666666666667
1036,2021-06-30,-0.48,WORX,0.11627906976744184
1037,2021-03-31,-0.43,WORX,-0.5520833333333333
1038,2020-12-31,-0.96,WORX,-0.16521739130434776
1039,2020-09-30,-1.15,WORX,0.1499999999999999
1040,2020-06-30,-1.0,WORX,2.4482758620689657
1041,2020-03-31,-0.29,WORX,-0.9395833333333333
1042,2019-12-31,-4.8,WORX,0.10091743119266039
