,Date,Value,Ticker
595,2013-06-30,-3.81,VYNT
596,2013-03-31,-0.57,VYNT
597,2012-12-31,-7.73,VYNT
598,2012-09-30,-5.80,VYNT
599,2012-06-30,-4.13,VYNT
600,2012-03-31,-3.21,VYNT
601,2011-12-31,,VYNT
602,2010-12-31,,VYNT
603,,,DTIL
604,2021-09-30,9.28,DTIL
605,2021-06-30,33.92,DTIL
606,2021-03-31,66.95,DTIL
607,2020-12-31,-92.42,DTIL
608,2020-09-30,-77.87,DTIL
609,2020-06-30,-54.60,DTIL
610,2020-03-31,-27.01,DTIL
611,2019-12-31,-95.68,DTIL
612,2019-09-30,-69.60,DTIL
613,2019-06-30,-49.70,DTIL
614,2019-03-31,-24.99,DTIL
615,2018-12-31,-65.99,DTIL
616,2018-09-30,-43.20,DTIL
617,2018-06-30,-25.51,DTIL
618,2018-03-31,-15.07,DTIL
619,2017-12-31,,DTIL
620,,,WLDN
621,2021-09-30,-6.56,WLDN
622,2021-06-30,-3.77,WLDN
623,2021-03-31,4.33,WLDN
624,2020-12-31,41.97,WLDN
625,2020-09-30,22.92,WLDN
626,2020-06-30,26.30,WLDN
627,2020-03-31,14.32,WLDN
628,2019-12-31,5.03,WLDN
629,2019-09-30,2.70,WLDN
630,2019-06-30,8.92,WLDN
631,2019-03-31,8.59,WLDN
632,2018-12-31,5.52,WLDN
633,2018-09-30,10.89,WLDN
634,2018-06-30,3.57,WLDN
635,2018-03-31,-6.87,WLDN
636,2017-12-31,8.89,WLDN
637,2017-09-30,0.21,WLDN
638,2017-06-30,5.67,WLDN
639,2017-03-31,-1.97,WLDN
640,2016-12-31,19.95,WLDN
641,2016-09-30,15.36,WLDN
642,2016-06-30,6.25,WLDN
643,2016-03-31,-1.88,WLDN
644,2015-12-31,5.63,WLDN
645,2015-09-30,4.05,WLDN
646,2015-06-30,1.50,WLDN
647,2015-03-31,-2.52,WLDN
648,2014-12-31,11.41,WLDN
649,2014-09-30,5.61,WLDN
650,2014-06-30,4.08,WLDN
651,2014-03-31,4.69,WLDN
652,2013-12-31,0.93,WLDN
653,2013-09-30,3.91,WLDN
654,2013-06-30,1.96,WLDN
655,2013-03-31,0.65,WLDN
656,2012-12-31,4.34,WLDN
657,2012-09-30,4.34,WLDN
658,2012-06-30,0.71,WLDN
659,2012-03-31,-0.90,WLDN
660,2011-12-31,-1.06,WLDN
661,2011-09-30,2.76,WLDN
662,2011-06-30,1.32,WLDN
663,2011-03-31,0.47,WLDN
664,2010-12-31,-0.55,WLDN
665,2010-09-30,0.96,WLDN
666,2010-06-30,-1.94,WLDN
667,2010-03-31,-1.47,WLDN
668,2009-12-31,1.77,WLDN
669,2009-09-30,1.59,WLDN
670,2009-06-30,1.22,WLDN
671,2009-03-31,1.57,WLDN
672,,,AQST
673,2021-09-30,-25.30,AQST
674,2021-06-30,-16.15,AQST
675,2021-03-31,-14.20,AQST
676,2020-12-31,-45.98,AQST
677,2020-09-30,-32.23,AQST
678,2020-06-30,-23.88,AQST
679,2020-03-31,-13.77,AQST
680,2019-12-31,-60.87,AQST
681,2019-09-30,-50.21,AQST
682,2019-06-30,-35.33,AQST
683,2019-03-31,-18.06,AQST
684,2018-12-31,-14.82,AQST
685,2018-09-30,-11.51,AQST
686,2018-06-30,0.41,AQST
687,2018-03-31,0.53,AQST
688,2017-12-31,,AQST
689,2017-09-30,11.25,AQST
690,2017-06-30,-3.94,AQST
691,,,EFC
692,2021-09-30,57.96,EFC
693,2021-06-30,42.91,EFC
694,2021-03-31,9.03,EFC
695,2020-12-31,129.24,EFC
696,2020-09-30,90.13,EFC
697,2020-06-30,74.08,EFC
698,2020-03-31,35.81,EFC
699,2019-12-31,103.07,EFC
700,2019-09-30,61.46,EFC
701,2019-06-30,43.73,EFC
702,2019-03-31,20.76,EFC
703,2018-12-31,-494.18,EFC
704,2018-09-30,-421.05,EFC
705,2018-06-30,-223.69,EFC
706,2018-03-31,-124.69,EFC
707,2017-12-31,-462.93,EFC
708,2017-09-30,-124.17,EFC
709,2017-06-30,-115.28,EFC
710,2017-03-31,-107.60,EFC
711,2016-12-31,69.69,EFC
712,2016-09-30,163.65,EFC
713,2016-06-30,89.28,EFC
714,2016-03-31,-19.00,EFC
715,2015-12-31,654.25,EFC
716,2015-09-30,389.27,EFC
717,2015-06-30,363.17,EFC
718,2015-03-31,338.15,EFC
719,2014-12-31,-604.16,EFC
720,2014-09-30,-341.65,EFC
721,2014-06-30,48.42,EFC
722,2014-03-31,66.34,EFC
723,2013-12-31,-244.38,EFC
724,2013-09-30,-369.46,EFC
725,2013-06-30,-317.42,EFC
726,2013-03-31,-26.54,EFC
727,2012-12-31,-51.40,EFC
728,2012-09-30,185.30,EFC
729,2012-06-30,15.39,EFC
730,2012-03-31,-31.13,EFC
731,2011-12-31,-47.45,EFC
732,2011-09-30,-64.22,EFC
733,2011-06-30,14.83,EFC
734,2011-03-31,-93.83,EFC
735,2010-12-31,-347.55,EFC
736,2010-09-30,119.64,EFC
737,2010-06-30,157.42,EFC
738,2010-03-31,137.28,EFC
739,2009-12-31,,EFC
740,2009-09-30,-270.88,EFC
741,,,PMT
742,2021-09-30,"-2,695.29",PMT
743,2021-06-30,"-2,853.62",PMT
744,2021-03-31,"-1,857.14",PMT
745,2020-12-31,715.16,PMT
746,2020-09-30,688.84,PMT
747,2020-06-30,"2,634.01",PMT
748,2020-03-31,"1,721.19",PMT
749,2019-12-31,"-2,910.10",PMT
750,2019-09-30,"-2,270.14",PMT
751,2019-06-30,-883.88,PMT
752,2019-03-31,161.80,PMT
753,2018-12-31,-474.56,PMT
754,2018-09-30,-716.79,PMT
755,2018-06-30,-527.59,PMT
756,2018-03-31,154.92,PMT
757,2017-12-31,390.05,PMT
758,2017-09-30,423.94,PMT
759,2017-06-30,388.79,PMT
760,2017-03-31,458.61,PMT
761,2016-12-31,-386.86,PMT
762,2016-09-30,-611.29,PMT
763,2016-06-30,-42.79,PMT
764,2016-03-31,25.34,PMT
765,2015-12-31,-622.36,PMT
766,2015-09-30,-351.42,PMT
767,2015-06-30,"-1,532.32",PMT
768,2015-03-31,-687.15,PMT
769,2014-12-31,-179.25,PMT
770,2014-09-30,-256.29,PMT
771,2014-06-30,-486.57,PMT
772,2014-03-31,143.65,PMT
773,2013-12-31,-121.34,PMT
774,2013-09-30,-334.08,PMT
775,2013-06-30,-377.56,PMT
776,2013-03-31,-225.15,PMT
777,2012-12-31,-684.04,PMT
778,2012-09-30,-547.95,PMT
779,2012-06-30,-192.32,PMT
